,2015,2015,2015,2014,2014,2014,2013,2013,2013,2012,2012,2012,2011,2011,2011,2010,2010,2010,2009,2009,2009,2008,2008,2008,2007,2007,2007,2006,2006,2006,2005,2005,2005,2004,2004,2004,2003,2003,2003,2002,2002,2002,2001,2001,2001,2000,2000,2000
Country,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total
Sierra Leone,,,,9.0,19.0,13.0,9.0,19.0,13.0,9.0,19.0,13.0,9.0,19.0,13.0,9.0,19.0,13.0,9.0,19.0,13.0,9.0,19.0,13.0,9.0,19.0,13.0,9.0,19.0,13.0,,,,,,,,,,,,,,,,,,
Somalia,8.0,12.0,10.0,8.0,12.0,10.0,8.0,12.0,10.0,8.0,12.0,10.0,8.0,12.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,19.0,32.0,23.0,19.0,32.0,23.0,19.0,32.0,23.0,19.0,32.0,23.0,19.0,32.0,23.0,19.0,32.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,,,,55.0,74.0,68.0,55.0,74.0,68.0,55.0,74.0,68.0,55.0,74.0,68.0,55.0,74.0,68.0,55.0,74.0,68.0,55.0,74.0,68.0,55.0,74.0,68.0,55.0,74.0,68.0,,,,,,,,,,,,,,,,,,
Tajikistan,67.0,88.0,73.0,67.0,88.0,72.0,67.0,88.0,72.0,67.0,88.0,72.0,67.0,88.0,72.0,67.0,88.0,72.0,67.0,88.0,72.0,67.0,88.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,
Togo,4.0,20.0,10.0,4.0,20.0,10.0,4.0,20.0,10.0,4.0,20.0,10.0,4.0,20.0,10.0,4.0,20.0,10.0,4.0,20.0,10.0,4.0,20.0,10.0,4.0,20.0,10.0,4.0,20.0,10.0,4.0,20.0,9.0,,,,,,,,,,,,,,,
Tunisia,67.0,96.0,86.0,67.0,96.0,86.0,67.0,96.0,86.0,67.0,96.0,86.0,67.0,96.0,86.0,67.0,96.0,86.0,67.0,96.0,86.0,67.0,96.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,97.0,99.0,98.0,94.0,98.0,96.0,92.0,96.0,94.0,89.0,95.0,92.0,87.0,94.0,91.0,85.0,93.0,89.0,82.0,92.0,87.0,80.0,91.0,85.0,77.0,90.0,83.0,75.0,89.0,82.0,73.0,88.0,80.0,70.0,87.0,78.0,68.0,86.0,76.0,65.0,85.0,74.0,63.0,84.0,73.0,61.0,83.0,71.0
Uganda,6.0,15.0,8.0,6.0,15.0,8.0,6.0,15.0,8.0,6.0,15.0,7.0,6.0,15.0,7.0,6.0,15.0,7.0,6.0,15.0,7.0,5.0,14.0,7.0,5.0,14.0,7.0,5.0,14.0,6.0,5.0,14.0,6.0,5.0,14.0,6.0,5.0,14.0,6.0,5.0,14.0,6.0,4.0,14.0,6.0,4.0,14.0,5.0
United Republic of Tanzania,40.0,63.0,48.0,40.0,63.0,47.0,40.0,63.0,47.0,40.0,63.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viet Nam,82.0,93.0,86.0,82.0,93.0,86.0,82.0,93.0,86.0,82.0,93.0,85.0,82.0,93.0,85.0,82.0,93.0,85.0,82.0,93.0,85.0,82.0,93.0,85.0,82.0,93.0,85.0,82.0,93.0,85.0,82.0,93.0,85.0,,,,,,,,,,,,,,,
Yemen,38.0,71.0,49.0,38.0,71.0,49.0,38.0,71.0,49.0,38.0,71.0,48.0,38.0,71.0,48.0,38.0,71.0,48.0,38.0,71.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,5.0,26.0,14.0,5.0,26.0,13.0,5.0,26.0,13.0,5.0,26.0,13.0,5.0,26.0,13.0,5.0,26.0,13.0,5.0,26.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,24.0,46.0,31.0,24.0,46.0,31.0,24.0,46.0,31.0,24.0,46.0,31.0,24.0,46.0,31.0,24.0,46.0,31.0,24.0,46.0,31.0,24.0,46.0,31.0,24.0,46.0,31.0,24.0,46.0,31.0,24.0,46.0,31.0,,,,,,,,,,,,,,,
